Index,TeamA,TeamB,TeamAruns,TeamBruns,TossWinner_Name,TossDecision,PlayConditions,MatchWinner_ID
309,Delhi,Punjab,140,136,4,0,-1,Delhi
310,Mumbai,Kolkata,108,140,7,1,-1,Kolkata
311,Punjab,Chennai,123,120,4,1,1,Punjab
312,Delhi,Bangalore,180,215,6,1,-1,Bangalore
313,Hyderabad,Rajasthan,128,126,5,0,-1,Hyderabad
314,Punjab,Delhi,141,145,6,1,1,Delhi
315,Pune,Kolkata,102,136,1,0,-1,Kolkata
316,Hyderabad,Bangalore,132,123,2,1,1,Hyderabad
317,Rajasthan,Mumbai,162,163,5,0,-1,Mumbai
318,Delhi,Kolkata,144,162,1,0,-1,Kolkata
319,Chennai,Mumbai,187,149,7,1,-1,Chennai
320,Delhi,Chennai,136,222,6,1,-1,Chennai
321,Kolkata,Chennai,192,190,3,0,-1,Kolkata
322,Mumbai,Kolkata,122,163,1,0,-1,Kolkata
323,Delhi,Bangalore,145,146,2,1,-1,Bangalore
324,Chennai,Punjab,205,206,3,0,1,Punjab
325,Hyderabad,Rajasthan,133,135,5,1,-1,Rajasthan
326,Bangalore,Mumbai,116,115,2,1,1,Bangalore
327,Kolkata,Delhi,166,167,1,0,-1,Delhi
328,Rajasthan,Punjab,191,193,4,1,-1,Punjab
329,Chennai,Delhi,177,84,3,0,-1,Chennai
330,Punjab,Hyderabad,193,121,11,1,-1,Punjab
331,Rajasthan,Chennai,133,140,5,1,-1,Chennai
332,Bangalore,Kolkata,148,150,2,1,-1,Kolkata
333,Hyderabad,Delhi,184,180,11,0,1,Hyderabad
334,Chennai,Mumbai,142,141,7,0,-1,Chennai
335,Rajasthan,Bangalore,71,70,5,1,1,Rajasthan
336,Kolkata,Punjab,109,132,1,1,-1,Punjab
337,Delhi,Mumbai,126,125,7,0,1,Delhi
338,Hyderabad,Chennai,145,146,11,0,-1,Chennai
339,Punjab,Bangalore,127,124,4,1,-1,Punjab
340,Kolkata,Rajasthan,152,152,0,0,-1,Draw
341,Mumbai,Hyderabad,157,172,7,1,-1,Hyderabad
342,Chennai,Kolkata,148,114,3,0,-1,Chennai
343,Mumbai,Punjab,170,168,4,0,1,Mumbai
344,Delhi,Rajasthan,152,156,5,1,-1,Rajasthan
345,Bangalore,Hyderabad,158,155,2,1,-1,Bangalore
346,Rajasthan,Kolkata,170,160,1,1,1,Rajasthan
347,Delhi,Chennai,178,181,3,1,-1,Chennai
348,Mumbai,Bangalore,187,168,2,1,-1,Mumbai
349,Delhi,Kolkata,160,161,6,0,1,Kolkata
350,Punjab,Chennai,231,187,3,1,-1,Punjab
351,Rajasthan,Hyderabad,102,134,5,1,-1,Hyderabad
352,Bangalore,Punjab,166,198,2,1,-1,Punjab
353,Delhi,Hyderabad,143,44,11,1,1,Hyderabad
354,Mumbai,Chennai,157,160,3,1,-1,Chennai
355,Punjab,Kolkata,149,150,1,1,1,Kolkata
356,Bangalore,Rajasthan,190,191,2,0,-1,Rajasthan
357,Hyderabad,Mumbai,157,160,11,0,-1,Mumbai
358,Chennai,Rajasthan,149,148,5,0,1,Chennai
359,Bangalore,Delhi,186,170,6,1,-1,Bangalore
360,Hyderabad,Punjab,205,211,4,1,1,Punjab
361,Kolkata,Mumbai,142,141,1,1,-1,Kolkata
362,Rajasthan,Delhi,201,139,6,1,-1,Rajasthan
363,Chennai,Bangalore,138,142,3,0,1,Bangalore
364,Hyderabad,Kolkata,142,146,11,0,-1,Kolkata
365,Rajasthan,Mumbai,153,178,7,0,1,Mumbai
366,Delhi,Punjab,164,165,4,1,-1,Punjab
367,Hyderabad,Bangalore,161,160,2,0,1,Hyderabad
368,Kolkata,Chennai,156,154,1,1,-1,Kolkata
369,Punjab,Mumbai,156,159,7,1,-1,Mumbai
370,Kolkata,Bangalore,195,165,2,1,1,Kolkata
371,Chennai,Hyderabad,185,189,11,1,-1,Hyderabad
372,Mumbai,Delhi,173,158,6,1,1,Mumbai
373,Punjab,Rajasthan,179,163,5,1,-1,Punjab
374,Bangalore,Chennai,154,160,3,1,1,Chennai
375,Kolkata,Hyderabad,161,160,1,1,-1,Kolkata
376,Punjab,Delhi,119,115,4,1,1,Punjab
377,Mumbai,Rajasthan,195,189,7,1,-1,Mumbai
378,Punjab,Kolkata,135,163,4,1,-1,Kolkata
379,Chennai,Mumbai,176,173,3,1,-1,Chennai
380,Chennai,Punjab,202,226,3,1,-1,Punjab
381,Kolkata,Punjab,200,199,1,1,-1,Kolkata
382,Kolkata,Mumbai,170,168,1,1,-1,Kolkata
383,Chennai,Delhi,150,149,6,1,-1,Chennai
384,Punjab,Rajasthan,136,162,4,1,-1,Rajasthan
385,Chennai,Hyderabad,209,164,3,0,1,Chennai
386,Kolkata,Bangalore,177,179,2,1,-1,Bangalore
387,Delhi,Rajasthan,184,186,5,1,1,Rajasthan
388,Mumbai,Punjab,159,177,7,1,-1,Punjab
389,Bangalore,Hyderabad,166,172,11,1,-1,Hyderabad
390,Rajasthan,Mumbai,165,164,7,0,-1,Rajasthan
391,Kolkata,Chennai,169,165,1,1,-1,Kolkata
392,Punjab,Delhi,165,169,4,0,-1,Delhi
393,Hyderabad,Rajasthan,127,131,5,1,-1,Rajasthan
394,Mumbai,Chennai,183,189,7,0,-1,Chennai
395,Hyderabad,Delhi,163,167,6,0,1,Delhi
396,Punjab,Kolkata,155,159,1,1,-1,Kolkata
397,Rajasthan,Chennai,157,156,3,0,1,Rajasthan
398,Bangalore,Mumbai,191,209,2,1,-1,Mumbai
399,Delhi,Kolkata,146,147,1,1,-1,Kolkata
400,Rajasthan,Punjab,191,191,0,0,-1,Draw
401,Hyderabad,Kolkata,176,101,1,1,1,Hyderabad
402,Bangalore,Chennai,154,181,2,1,-1,Chennai
403,Delhi,Mumbai,190,153,7,1,-1,Delhi
404,Rajasthan,Bangalore,130,134,2,1,-1,Bangalore
405,Mumbai,Hyderabad,157,137,7,0,1,Mumbai
406,Chennai,Punjab,192,95,3,0,-1,Chennai
407,Delhi,Bangalore,0,0,2,1,-1,Bangalore
408,Punjab,Hyderabad,130,150,4,1,-1,Hyderabad
409,Chennai,Kolkata,134,132,1,1,-1,Chennai
410,Bangalore,Rajasthan,0,200,0,0,-1,Draw
411,Delhi,Punjab,95,99,6,1,1,Delhi
412,Mumbai,Rajasthan,187,179,5,1,-1,Mumbai
413,Bangalore,Kolkata,115,111,2,1,1,Bangalore
414,Hyderabad,Chennai,192,170,3,1,-1,Hyderabad
415,Punjab,Mumbai,149,172,7,0,1,Mumbai
416,Rajasthan,Delhi,189,175,6,1,-1,Rajasthan
417,Chennai,Bangalore,148,124,3,0,1,Chennai
418,Kolkata,Hyderabad,167,132,11,1,-1,Kolkata
419,Mumbai,Delhi,153,152,6,0,-1,Mumbai
420,Bangalore,Punjab,226,88,4,1,-1,Bangalore
421,Rajasthan,Hyderabad,194,201,5,1,-1,Hyderabad
422,Kolkata,Delhi,171,158,1,0,-1,Kolkata
423,Chennai,Mumbai,158,159,3,0,-1,Mumbai
424,Kolkata,Punjab,184,183,4,0,1,Kolkata
425,Delhi,Hyderabad,157,163,11,0,-1,Hyderabad
426,Mumbai,Bangalore,196,235,2,0,1,Bangalore
427,Chennai,Rajasthan,157,145,3,0,-1,Chennai
428,Hyderabad,Punjab,185,180,11,0,-1,Hyderabad
429,Delhi,Chennai,120,119,3,0,-1,Delhi
430,Punjab,Bangalore,106,84,2,1,-1,Punjab
431,Mumbai,Kolkata,171,166,1,1,-1,Mumbai
432,Hyderabad,Bangalore,135,83,11,0,-1,Bangalore
433,Punjab,Chennai,130,134,4,0,1,Chennai
434,Rajasthan,Kolkata,199,190,5,0,-1,Rajasthan
435,Bangalore,Delhi,2,187,0,0,1,Draw
436,Hyderabad,Mumbai,113,114,11,0,-1,Mumbai
437,Chennai,Mumbai,162,187,7,0,-1,Mumbai
438,Bangalore,Rajasthan,180,109,2,0,-1,Bangalore
439,Chennai,Bangalore,140,139,3,1,-1,Chennai
440,Mumbai,Chennai,202,161,3,1,-1,Mumbai
441,Mumbai,Pune,121,126,7,0,-1,Pune
442,Kolkata,Delhi,99,98,1,1,-1,Kolkata
443,Punjab,Gujarat,161,162,12,1,-1,Gujarat
444,Bangalore,Hyderabad,227,182,11,1,-1,Bangalore
445,Kolkata,Mumbai,187,188,7,1,-1,Mumbai
446,Gujarat,Pune,164,163,10,0,-1,Gujarat
447,Delhi,Punjab,113,111,6,1,-1,Delhi
448,Hyderabad,Kolkata,142,146,11,0,1,Kolkata
449,Mumbai,Gujarat,143,147,12,1,-1,Gujarat
450,Punjab,Pune,153,152,10,0,1,Punjab
451,Bangalore,Delhi,191,192,6,1,-1,Delhi
452,Hyderabad,Mumbai,145,142,11,1,-1,Hyderabad
453,Punjab,Kolkata,138,141,1,1,-1,Kolkata
454,Mumbai,Bangalore,171,170,7,1,-1,Mumbai
455,Gujarat,Hyderabad,135,137,11,1,-1,Hyderabad
456,Pune,Bangalore,172,185,10,1,-1,Bangalore
457,Delhi,Mumbai,164,154,7,1,1,Delhi
458,Hyderabad,Punjab,146,143,11,1,-1,Hyderabad
459,Gujarat,Bangalore,182,180,2,0,1,Gujarat
460,Pune,Kolkata,160,162,1,1,-1,Kolkata
461,Punjab,Mumbai,164,189,4,1,-1,Mumbai
462,Hyderabad,Pune,118,94,10,1,-1,Pune
463,Delhi,Gujarat,171,172,6,1,-1,Gujarat
464,Mumbai,Kolkata,178,174,7,1,-1,Mumbai
465,Pune,Gujarat,195,196,12,1,-1,Gujarat
466,Delhi,Kolkata,186,159,1,1,1,Delhi
467,Hyderabad,Bangalore,194,179,2,1,-1,Hyderabad
468,Gujarat,Punjab,131,154,12,1,1,Punjab
469,Pune,Mumbai,159,161,7,1,-1,Mumbai
470,Bangalore,Kolkata,185,189,1,1,-1,Kolkata
471,Gujarat,Delhi,149,150,6,1,-1,Delhi
472,Kolkata,Punjab,164,157,4,1,-1,Kolkata
473,Delhi,Pune,162,166,10,1,-1,Pune
474,Hyderabad,Gujarat,129,126,11,1,-1,Hyderabad
475,Bangalore,Pune,195,191,2,1,1,Bangalore
476,Punjab,Delhi,181,172,6,1,-1,Punjab
477,Mumbai,Hyderabad,92,177,7,1,1,Hyderabad
478,Kolkata,Gujarat,158,164,12,1,-1,Gujarat
479,Punjab,Bangalore,174,175,4,1,-1,Bangalore
480,Pune,Hyderabad,133,137,11,0,-1,Hyderabad
481,Bangalore,Mumbai,151,153,7,1,-1,Mumbai
482,Hyderabad,Delhi,146,150,6,1,-1,Delhi
483,Mumbai,Punjab,124,127,7,0,-1,Punjab
484,Bangalore,Gujarat,248,104,12,1,1,Bangalore
485,Kolkata,Pune,66,103,10,0,-1,Kolkata
486,Punjab,Hyderabad,179,180,4,0,1,Hyderabad
487,Mumbai,Delhi,206,126,6,1,-1,Mumbai
488,Kolkata,Bangalore,183,186,2,1,-1,Bangalore
489,Pune,Delhi,76,121,10,1,-1,Pune
490,Bangalore,Punjab,211,120,4,1,-1,Bangalore
491,Gujarat,Kolkata,125,124,12,1,-1,Gujarat
492,Delhi,Hyderabad,161,158,6,1,-1,Delhi
493,Pune,Punjab,173,172,4,0,1,Pune
494,Gujarat,Mumbai,173,172,12,1,-1,Gujarat
495,Kolkata,Hyderabad,171,149,11,1,1,Kolkata
496,Delhi,Bangalore,138,139,2,1,-1,Bangalore
497,Gujarat,Bangalore,158,159,2,1,-1,Bangalore
498,Hyderabad,Kolkata,162,140,1,1,-1,Hyderabad
499,Gujarat,Hyderabad,162,163,11,1,-1,Hyderabad
500,Bangalore,Hyderabad,200,208,11,0,-1,Hyderabad
501,Hyderabad,Bangalore,207,172,2,1,-1,Draw
502,Pune,Mumbai,187,184,10,1,-1,Pune
503,Gujarat,Kolkata,183,184,1,1,-1,Kolkata
504,Punjab,Pune,164,163,4,1,1,Punjab
505,Bangalore,Delhi,157,142,2,0,-1,Bangalore
506,Hyderabad,Gujarat,140,135,11,1,1,Hyderabad
507,Mumbai,Kolkata,180,178,7,1,-1,Mumbai
508,Pune,Delhi,108,205,10,1,-1,Delhi
509,Mumbai,Hyderabad,159,158,7,1,-1,Mumbai
510,Kolkata,Punjab,171,170,1,1,-1,Kolkata
511,Bangalore,Mumbai,142,145,7,1,1,Mumbai
512,Gujarat,Pune,172,171,12,1,-1,Gujarat
513,Kolkata,Hyderabad,172,155,11,1,1,Draw
514,Delhi,Punjab,188,137,6,0,-1,Delhi
515,Mumbai,Gujarat,177,176,7,1,1,Mumbai
516,Bangalore,Pune,134,161,2,1,-1,Pune
517,Delhi,Kolkata,168,169,6,0,1,Kolkata
518,Hyderabad,Punjab,159,154,4,1,-1,Hyderabad
519,Gujarat,Bangalore,192,213,12,1,-1,Bangalore
520,Hyderabad,Delhi,191,176,11,0,-1,Hyderabad
521,Punjab,Mumbai,198,199,7,1,-1,Mumbai
522,Kolkata,Gujarat,187,188,12,1,-1,Gujarat
523,Pune,Hyderabad,179,176,10,1,-1,Pune
524,Mumbai,Delhi,142,128,6,1,1,Pune
525,Gujarat,Punjab,162,188,12,1,-1,Mumbai
526,Kolkata,Bangalore,131,49,2,1,-1,Punjab
527,Mumbai,Pune,157,160,7,1,-1,Kolkata
528,Bangalore,Hyderabad,0,0,0,0,-1,Draw
529,Pune,Kolkata,182,184,1,1,-1,Draw
530,Bangalore,Gujarat,134,135,12,1,-1,Kolkata
531,Kolkata,Delhi,161,160,1,1,1,Gujarat
532,Punjab,Hyderabad,181,207,4,1,-1,Kolkata
533,Pune,Bangalore,157,96,2,1,1,Hyderabad
534,Gujarat,Mumbai,153,153,12,0,-1,Pune
535,Punjab,Delhi,68,67,4,1,1,Draw
536,Hyderabad,Kolkata,209,161,1,1,-1,Punjab
537,Mumbai,Bangalore,165,162,2,0,1,Hyderabad
538,Pune,Gujarat,167,161,10,1,-1,Mumbai
539,Delhi,Hyderabad,189,185,6,1,-1,Pune
540,Kolkata,Pune,155,158,10,1,-1,Delhi
541,Delhi,Gujarat,214,208,6,1,-1,Pune
542,Bangalore,Punjab,119,138,2,1,-1,Delhi
543,Hyderabad,Pune,136,148,11,1,1,Punjab
544,Delhi,Mumbai,66,212,6,1,-1,Pune
545,Bangalore,Kolkata,158,159,1,1,1,Mumbai
546,Punjab,Gujarat,189,192,12,1,-1,Kolkata
547,Hyderabad,Mumbai,140,138,7,0,-1,Gujarat
548,Punjab,Kolkata,167,153,1,1,-1,Hyderabad
549,Gujarat,Delhi,195,197,6,1,-1,Punjab
550,Mumbai,Punjab,223,230,7,1,-1,Delhi
551,Delhi,Pune,168,161,6,0,-1,Punjab
552,Gujarat,Hyderabad,154,158,11,1,1,Delhi
553,Kolkata,Mumbai,164,173,1,1,-1,Hyderabad
554,Pune,Punjab,78,73,10,1,1,Mumbai
555,Delhi,Bangalore,151,161,2,0,-1,Pune
556,Mumbai,Pune,142,162,7,1,-1,Bangalore
557,Hyderabad,Kolkata,128,48,1,1,-1,Pune
558,Mumbai,Kolkata,111,107,7,1,-1,Kolkata
559,Mumbai,Pune,129,128,7,0,-1,Mumbai
560,Punjab,Delhi,167,166,4,1,1,Punjab
561,Kolkata,Bangalore,177,176,1,1,-1,Kolkata
562,Hyderabad,Rajasthan,127,125,11,1,-1,Hyderabad
563,Chennai,Kolkata,205,202,3,1,-1,Chennai
564,Rajasthan,Delhi,153,60,6,1,-1,Rajasthan
565,Mumbai,Hyderabad,147,151,11,1,-1,Hyderabad
566,Punjab,Bangalore,155,159,2,1,-1,Bangalore
567,Mumbai,Delhi,194,195,6,1,1,Delhi
568,Kolkata,Hyderabad,138,139,11,1,-1,Hyderabad
569,Bangalore,Rajasthan,198,217,5,0,1,Rajasthan
570,Punjab,Chennai,197,193,3,1,-1,Punjab
571,Kolkata,Delhi,200,129,6,1,-1,Kolkata
572,Mumbai,Bangalore,213,167,2,1,-1,Mumbai
573,Rajasthan,Kolkata,160,163,1,1,-1,Kolkata
574,Punjab,Hyderabad,193,178,4,0,-1,Punjab
575,Rajasthan,Chennai,140,205,5,1,-1,Chennai
576,Kolkata,Punjab,191,126,4,1,1,Punjab
577,Bangalore,Delhi,176,174,2,1,-1,Bangalore
578,Hyderabad,Chennai,178,182,11,1,1,Chennai
579,Rajasthan,Mumbai,168,167,7,0,-1,Rajasthan
580,Delhi,Punjab,139,143,6,1,-1,Punjab
581,Mumbai,Hyderabad,87,118,7,1,-1,Hyderabad
582,Bangalore,Chennai,205,207,3,1,-1,Chennai
583,Hyderabad,Punjab,132,119,4,1,-1,Hyderabad
584,Delhi,Kolkata,219,164,1,1,-1,Delhi
585,Chennai,Mumbai,169,170,7,1,-1,Mumbai
586,Rajasthan,Hyderabad,140,151,11,0,1,Hyderabad
587,Bangalore,Kolkata,175,176,1,1,-1,Kolkata
588,Chennai,Delhi,211,198,6,1,-1,Chennai
589,Bangalore,Mumbai,167,153,7,1,-1,Bangalore
590,Delhi,Rajasthan,196,146,6,1,-1,Delhi
591,Kolkata,Chennai,180,177,1,1,-1,Kolkata
592,Punjab,Mumbai,174,176,7,1,-1,Mumbai
593,Chennai,Bangalore,128,127,3,1,1,Chennai
594,Hyderabad,Delhi,164,163,6,0,-1,Hyderabad
595,Mumbai,Kolkata,181,168,1,1,1,Mumbai
596,Punjab,Rajasthan,155,152,4,1,-1,Punjab
597,Hyderabad,Bangalore,146,141,2,1,-1,Hyderabad
598,Rajasthan,Punjab,158,143,5,0,-1,Rajasthan
599,Kolkata,Mumbai,108,210,1,1,-1,Mumbai
600,Delhi,Hyderabad,187,191,6,0,-1,Hyderabad
601,Rajasthan,Chennai,177,176,3,0,-1,Rajasthan
602,Punjab,Kolkata,214,245,4,1,1,Kolkata
603,Delhi,Bangalore,181,187,2,1,-1,Bangalore
604,Chennai,Hyderabad,180,179,3,1,1,Chennai
605,Mumbai,Rajasthan,168,171,5,1,-1,Rajasthan
606,Punjab,Bangalore,88,92,2,1,-1,Bangalore
607,Kolkata,Rajasthan,145,142,1,1,-1,Kolkata
608,Mumbai,Punjab,186,183,4,1,-1,Mumbai
609,Bangalore,Hyderabad,218,204,11,1,-1,Bangalore
610,Delhi,Chennai,162,128,3,1,1,Delhi
611,Rajasthan,Bangalore,164,134,5,0,-1,Rajasthan
612,Hyderabad,Kolkata,172,173,11,0,-1,Kolkata
613,Delhi,Mumbai,174,163,6,0,1,Delhi
614,Chennai,Punjab,159,153,3,1,-1,Chennai
615,Chennai,Hyderabad,140,139,3,1,-1,Chennai
616,Kolkata,Rajasthan,169,144,5,1,-1,Kolkata
617,Kolkata,Hyderabad,160,174,1,1,-1,Hyderabad
618,Chennai,Hyderabad,178,181,3,1,1,Chennai
